name,nationality,sport
Igor Larionov,Soviet Union,Russian retired ice hockey player
Igor Ponomaryov,Azerbaijan,Swedish footballers
Chira Apostol,Romania,Olympic rower of Romania
Claudia Losch,Germany,German shot putter
Sean Kerly,,Field hockey player
Carola Anding,,Cross-country skier
Carsten Bunk,,Rower
John Mugabi,Uganda,Boxer
José Raúl Delgado,,Baseball player
Keith Trask,,Rower
Kevin Neufeld,,Went to a total of three olympic games.
Ingo Appelt,Austria,Bobsledder
Irfan Smajlagić,,Handball player
Tetyana Dorovskikh,,Athletics (sport) competitor
Thomas Möllenkamp,,Rower
Thomas Müller (skier),Germany,German Nordic combined skiers
Luis Doreste,,Sailor
Grant Bramwell,,Canoe racer
Gustav Weder,,Bobsledder
Yang Xilan,China,Chinese volleyball player
Yelena Akhaminova,Soviet Union,Volleyball player
Yelena Davydova,Soviet Union,Gymnast
Yordanka Donkova,,Athletics (sport) competitor
Zlatko Saračević,Croatia,Croatian handball player
Fredy Schmidtke,Germany,German track cyclist
Pavel Kuznetsov (weightlifter),,Weightlifter
Peter Evans (swimmer),United Kingdom,Australian swimmer
Dietmar Mögenburg,Germany,German high jumper
Dimitrie Popescu,,Rower
Dominique Bijotat,France,Footballer
Dot Richardson,,Softball player
Douglas Partie,United States,Volleyball player
Ron Brown (American football),United States,American football player
Ronald Florijn,Netherlands,Rower
Mikhail Vasilev,Soviet Union,Handball player
Mirjana Đurica,,Handball player
Mirko Nišović,,Canoe racer
Tomi Poikolainen,,Archer
Uwe Proske,Germany,Fencer
Sergei Fokin (footballer),Soviet Union,Russian footballer
Sergei Gorlukovich,Soviet Union,Footballer
Stephen Batchelor (field hockey),United Kingdom,British field hockey player
Steve Lundquist,United States,American swimmer Olympic gold medalist former world record-holder
Steven Erickson,,Sailor
Kirsten Wenzel,Germany,Rower
Lee Capes,,Olympic medalist
Manuel Estiarte,,Water polo player
Marcos Soares,,Sailor
Maria Filatova,Soviet Union,Gymnast
Marina Logvinenko,,Sport shooter
Mariví González,Spain,Spanish field hockey player
Marjolein Eijsvogel,,Field hockey player
Mark McKoy,,Athletics (sport) competitor
Jan Tops,,Equestrian
Julius Kariuki,,Athletics (sport) competitor
Kamandar Madzhidov,Soviet Union,Olympic wrestler
Attila Mizsér,Hungary,Modern pentathlete
Angelo Mazzoni,Italy,Fencer
Anne Donovan,United States,Basketball player and coach
Ansgar Wessling,,Rower
Anton Josipović,,Boxer
Antonio Vázquez (archer),,Archer
Armando Martínez,Cuba,Boxer
Oksen Mirzoyan,Armenia,Weightlifter
Olga Krivosheyeva,Kazakhstan,Former Soviet volleyball player who won gold at the 1988 Summer Olympics.
Oliver Kegel,,Canoe racer
Pat Turner,,Rower
Peter Thomsen,,Equestrian
Peter Vidmar,United States,Gymnast
Petra Thümer,Germany,Swimmer
Petru Iosub,,Rower
Aleksandr Kurlovich,Belarus,Weightlifter
Aleksandr Portnov,Soviet Union,Diver
Alenka Cuderman,,Handball player
Sunder Nix,United States,American sprinter
Svetlana Anastasovska,,Handball player
Mitsuru Sato,,Olympic wrestler
Nadia Comăneci,Romania,Gymnast
Natalia Shaposhnikova,,Gymnast
Nataliya Razumova,Russia,Volleyball player
Benita Fitzgerald-Brown,,Athletics (sport) competitor
Bernd Dittert,Germany,German racing cyclist
Betsy Beard,United States,Former American Olympic rower.
Blair Horn,,Rower
Blyth Tait,,Equestrian
Boris Koretsky,Azerbaijan,Fencer
Britt Pettersen,,Cross-country skier
Calvin Smith,United States,Runner
Veselin Vujović,,Handball player
Vida Vencienė,Soviet Union,Cross-country skier
Volker Fried,,Field hockey player
Vyacheslav Ivanenko,,Athletics (sport) competitor
Jean-Philippe Rohr,France,Footballer
Jerry Page,,Boxer
Jill Sterkel,United States,American swimmer Olympic gold medalist former world record-holder college swimming coach
Alonzo Babers,,Athletics (sport) competitor
André Hoffmann (speed skater),,Speed skater
Andrea Borella,Italy,Fencer
Andrea Pollack,Germany,Swimmer
Andrei Khomutov,Soviet Union,Ice hockey player
Andrey Perlov,,Athletics (sport) competitor
Liang Yan,,Volleyball player
Lorraine Hillas,,Olympic medalist
Mauro Numa,Italy,Fencer
Hitoshi Saito,,Judoka
Sam Perkins,United States,Basketball player
Agneta Andersson,,Canoe racer
Carl Lewis,United States,American track and field athlete
Werner Stocker (bobsleigh),,Bobsledder
William Ayache,Algeria,Footballer
Connie Paraskevin,United States,American racing cyclist
Dan Frost,Denmark,Danish racing cyclist
Jorge Luis Valdés,,Baseball player
José Touré,France,Footballer
Jos Lansink,,Equestrian
Karin Enke,Germany,Speed skater
Kenny Monday,United States,Olympic wrestler
Israil Arsamakov,Soviet Union,Weightlifter
Jackie Joyner-Kersee,United States,Athletics (sport) competitor multi-event heptathlete long jumper hurdler
Jackie Silva,Brazil,Volleyball player
Emilija Erčić,,Handball player
Erika Salumäe,Estonia,Estonian racing cyclist
Theresa Andrews,United States,All-American college swimmer international swimmer Olympic gold medalist
Tim Daggett,,Gymnast
Lyudmila Dzhigalova,,Athletics (sport) competitor
Goran Perkovac,,Handball player
Gunde Svan,Sweden,Cross-country skier
Yutaka Wada,Japan,baseball player (retired)
Zheng Meizhu,China,Chinese volleyball player
Patrick Ewing,Jamaica,Basketball player
Pavel Sukosyan,,Handball player
Deni Lušić,,Water polo player
Dmitri Vladimirovich Vasilyev (biathlete),Soviet Union,Soviet biathlete
Domingo Manrique,,Sailor
Rodica Arba,Romania,Olympic rower of Romania
Roger Ilegems,Belgium,cyclist
Roger Kingdom,Georgia,Athletics (sport) competitor
Roland Schröder,,Rower
Russell Coutts,New Zealand,Sailor
Michael Grenda,Australia,Australian racing cyclist
Michelle Cameron,Canada,Synchronized swimmer
Mike Conley Sr.,United States,Athletics (sport) competitor triple jumper long jumper
Tor Heiestad,,Sport shooter
Ulf Timmermann,Germany,German shot putter
Ulrich Papke,,Canoe racer
Ulrich Schreck,Germany,Fencer
Sheila Cornell-Douty,United States,Softball player
Sherri Howard,United States,Athletics (sport) competitor sprinter 400 metres runner
Slobodan Kuzmanovski,,Handball player
Sophie Moressée-Pichot,France,Fencer
Steffi Martin,,Luger
Stephan van den Berg,Netherlands,Olympic sailor
Steve Redgrave,United Kingdom,English rower and Olympic medallist
Harald Winkler,Austria,Austrian bobsledder
Heike Kemmer,,Equestrian
Hendrik Reiher,,Rower
Kurt Meier,,Bobsledder
Laurien Willemse,Netherlands,Dutch field hockey player
Marco Giovannetti,Italy,Road bicycle racer
Maricica Ţăran,,Rower
Mario Kummer,Germany,German racing cyclist and team manager
Jan Schur,Germany,Retired German track cyclist
Janice Lawrence Braxton,,Basketball player
Joe Kleine,Brazil,Basketball player
Jouko Salomäki,Finland,Olympic wrestler
Juan Bautista Hernández Pérez,,Boxer
Arsen Fadzayev,Soviet Union,Olympic wrestler
Olaf Förster,Germany,Rower
Olaf Heukrodt,,Canoe racer
Olga Shkurnova,Ukraine,Former Soviet volleyball player who won gold at the 1988 Summer Olympics.
Pam Shriver,United States,American tennis [player]
Pamela McGee,United States,American professional women's basketball player
Ralf Schumann,Germany,Sport shooter
Ricci Luyties,,Volleyball player
Pierre Quinon,France,Pole vaulter
Aleksandr Borodyuk,Soviet Union,Russian football player and manager
Alette Pos,,Field hockey player
Robert Clift,,Field hockey player
Robert Felisiak,Poland,Fencer
Sylvia Rose,,Rower
Sylvie Daigle,,Short-track speed skater
David O'Connor (equestrian),,Equestrian
Georgi Sviridenko,Soviet Union,Handball player
Gianluca Farina,Italy,Italian 1988 Olympic gold quad sculls
Nancy Hogshead-Makar,United States,American swimmer Olympic gold medalist lawyer professor
Natalya Lisovskaya,,Athletics (sport) competitor
Bence Szabó,Hungary,Fencer
Bengt Baron,Sweden,Swimmer
Birgit Fischer,,Canoe racer
Brenda Taylor (rower),,Rower
Bruce Robertson (rower),,Rower
Viktor Bryzhin,Ukraine,Ukrainian sprinter
Viorica Ioja,,Rower
Vladimer Aptsiauri,Georgia,Fencer
Vlado Lisjak,,Wrestler
Volodymyr Lyutyi,Ukraine,Ukrainian footballer
Jean-Pierre Amat,,Sport shooter
Jeff Turner,United States,Basketball player
Jimmy Kirkwood,,Field hockey player and cricketer
Alvin Robertson,South Africa,Basketball player
Anatoly Khrapaty,Soviet Union,Weightlifter
André Wohllebe,Germany,Olympic canoeist
Andrey Lavrov,,Handball player
Lee Kyung-Keun,,Judoka
Leon Wood,United States,American basketball player
Liane Tooth,Australia,Australian Field hockey player
Ljiljana Mugoša,,Handball player
Florica Lavric,,Rower
Frank Wieneke,,Judoka
Mercedes Coghen,,Field hockey player
Nawal El Moutawakel,Morocco,Moroccan hurdler and IOC member
Neil Brooks,Australia,Australian swimmer
Nico Rienks,Netherlands,Rower
Hubert Strolz,Alps,Alpine skier
Imran Sherwani,United Kingdom,Field hockey player
Chris Cavanaugh (swimmer),United States,American swimmer Olympic gold medalist former world record-holder
Christian Grønborg,,Sailor
Christiane Weber (fencer),Germany,German fencer
Christoph Langen,,Bobsledder
Sandro Cuomo,Italy,Fencer
Sarina Hülsenbeck,,Swimmer
Carina Benninga,,Field hockey player
Carmine Abbagnale,Italy,Italian coxed pairs rower
Carola Hornig,Germany,Rower
Cathy Turner,,Short track speed skater
Wei Qingguang,China,Table tennis player
Clyde Drexler,United States,American professional basketball player
John Ngugi,,Athletics (sport) competitor
John Stockton,United States,American basketball player
John Wallace (rower),,Rower
Jon Rønningen,,Olympic wrestler
Jonas Bergqvist,Sweden,Ice hockey player
Karen Marsden,,Field hockey player
Ingo Weißenborn,Germany,Fencer
Jörg Hoffmann (luger),Germany,Luger
Jörg Woithe,Germany,Swimmer
Ermidelio Urrutia,,Baseball player
Eros Poli,Italy,Road bicycle racer
Thomas Greiner,Germany,Rower
Ludger Beerbaum,Germany,Equestrian
Luis Ulacia,,Baseball player
Goran Maksimović,,Sport shooter
Hakeem Olajuwon,Nigeria,Basketball player
Yang Xiaojun,China,Chinese volleyball player
Yelena Romanova,Russia,Athletics (sport) competitor
Yuri Kashkarov,Soviet Union,Soviet biathlete
Yury Zakharevich,Russia,Russian weightlifter
Zemfira Meftakhetdinova,,Sport shooter
Zina Garrison,South Africa,Tennis player
Geir Karlstad,Norway,Speed skater
Patrick Hürlimann,,Curler
Paul Foerster,,Sailor
Paula Ivan,,Athletics (sport) competitor
Detlef Hofmann,Germany,Canoe racer
Ronald Jansen,,Field hockey player
Sándor Wladár,Hungary,Swimmer
Michael Jordan,United States,Professional National Basketball Association player and businessman
Mikhail Mamiashvili,Soviet Union,Soviet wrestler
Miriam Blasco,,Judoka
Torgny Mogren,Sweden,Cross-country skier
Tracie Ruiz,United States,Synchronized swimmer
Tracy Caulkins,United States,American swimmer Olympic gold medalist former world record-holder Order of Australia recipient
Troy Tanner,United States,Volleyball player
Udo Wagner,Germany,Fencer
Uwe-Jens Mey,,Speed skater
Vadym Tyshchenko,Ukraine,Footballer
Sergey Bubka,Soviet Union,Ukrainian pole vaulter
Sergey Bulygin,Soviet Union,Soviet biathlete
Sergey Fokichev,,Speed skater
Shannon Crawford,,Rower
Sharon Buchanan,Australia,Australian field hockey player
Silvio Martinello,Italy,Olympic cycling gold
Sorin Babii,,Sport shooter
Steve Hegg,United States,American racing cyclist
Harald Czudaj,,Bobsledder
Hennadiy Avdyeyenko,United States,Ukrainian high jumper
László Fábián (pentathlete),Hungary,Modern pentathlete fencer
Larry Cain,Canada,Canoe racer
Lars Nieberg,,Equestrian
Launi Meili,,Sport shooter
Manuela Di Centa,Italy,Cross-country skier
Marco Marin,Italy,Fencer
Maree Fish,,Olympic medalist
Marina Anatolyevna Pankova,Russia,Volleyball player
Maritza Martén,,Athletics (sport) competitor
Mark Breland,,Boxer
Jan Posthuma,Netherlands,Volleyball player
Dragica Đurić,,Handball player
Elena Valova,United States,Russian pair skater
Axel Wegner,,Sport shooter
Bahne Rabe,,Rower
Beatrix Schröer,,Rower
Beezie Madden,,Equestrian
Anne Jahren,,Cross-country skier
Anneloes Nieuwenhuizen,,Field hockey player
Olha Bryzhina,Russia,Soviet sprinter
Pat Borders,United States,American professional baseball player catcher
Rajmond Debevec,Yugoslavia,Sport shooter
Ralf Brudel,,Rower
Petra Schneider,Germany,Swimmer
Philippe Heberlé,,Sport shooter
Phillip Dutton,,Equestrian
Pirmin Zurbriggen,Switzerland,Swiss alpine skier
Al MacInnis,Canada,Canadian ice hockey defenceman
Alexandra Simons de Ridder,,Equestrian
Rick Carey,United States,American swimmer Olympic gold medalist former world record-holder
Robert Seguso,United States,American tennis player
Susanne Gunnarsson,,Canoe racer
Takashi Kobayashi (wrestler),,Olympic wrestler
Tanyu Kiryakov,,Sport shooter
Teresa Motos,,Field hockey player
Evgeny Yarovenko,Soviet Union,footballer
Daniel Müller,,Curler
David Faulkner (field hockey),,Field hockey player
David Gobejishvili,Soviet Union,Olympic wrestler
George DiCarlo,United States,American swimmer Olympic gold medalist
Gerhard Haidacher,,Bobsledder
Gintautas Umaras,Soviet Union,Lithuanian racing cyclist
Monica Theodorescu,Germany,Equestrian
Nathalie Lambert,,Short track speed skater
Bob Ctvrtlik,,Volleyball player
Brian Boitano,,United States figure skater
Bruce Hayes (swimmer),United States,American swimmer Olympic gold medalist former world record-holder
Vegard Ulvang,,Cross-country skier
Waldemar Legień,Poland,Polish judoka
Jean-Michel Henry,France,Fencer
Jiang Ying (volleyball),,Volleyball player
Joaquim Cruz,Brazil,Athletics (sport) competitor middle distance runner
Jochen Pietzsch,,Luger
Andrea Cipressa,Italy,Fencer
Andrey Tyumentsev,Soviet Union,Handball player
Li Ning,China,Gymnast
Li Yanjun,,Volleyball player
Liliya Nurutdinova,,Athletics (sport) competitor
Lina Kačiušytė,Soviet Union,Swimmer
Loretta Dorman,,Olympic medalist
Lori Fung,,Gymnast
Francesco Attolico,,Water polo player
Martina Walther,,Rower
Martyn Grimley,,Field hockey player
Matthias Baumann,,Equestrian
Matti Nykänen,Finland,Finnish singer and ski jumper
Maurizio Stecca,,Boxer
Hinrich Romeike,,Equestrian
Hou Yuzhu,,Volleyball player
Igor Stelnov,Soviet Union,Russian ice hockey player
Ilya Byakin,Soviet Union,Russian ice hockey player
Ines Diers,Germany,Swimmer
Ines Geißler,Germany,Swimmer
Chris Mullin (basketball),United States,Basketball player
Sandra Schmirler,Canada,World & Olympic champion curler
Scott Strausbaugh,United States,Canoe racer
Ahmad Mohammad Hasher Al Maktoum,Saudi Arabia,Sport shooter
Candy Costie,United States,Synchronized swimmer
Caren Metschuck,Germany,Swimmer
Charles Barkley,United States,Basketball player
Cynthia Cooper-Dyke,United States,Basketball player
Jolanda de Rover,Netherlands,Swimmer
Jon Potter,,Field hockey player and businessman
Jorge Payá,,Water polo player
Karl Malone,,Basketball player
Kathleen Partridge,,Olympic medalist
Ken Flach,United States,American tennis player
Kim Moon-soo (badminton),,male badminton player from South Korea
Ioana Badea,,Rower Rower
Jackie Pereira,,Field hockey player
Elisabeta Lipă,,Rower
Ernst Vettori,Austria,Austrian ski jumper
Thies Kaspareit,,Equestrian
Thomas Domian,,Rower
Thomas Lange,,Rower
Tiit Sokk,Estonia,Basketball player
Tom Jager,United States,American swimmer Olympic gold medalist former world record-holder
Ludmila Engquist,,Athletics (sport) competitor
Ma Yanhong,China,Gymnast
Makharbek Khadartsev,Soviet Union,Olympic wrestler
Yelena Ruzina,,Athletics (sport) competitor
Yuri Khmylev,Soviet Union,Ice hockey player
Yvonne van Gennip,Netherlands,Speed skater
Zsolt Gyulay,,Canoe racer
Paul Gonzales,,Boxer
Pernell Whitaker,United States,Boxer
Peter Blangé,Netherlands,Volleyball player
Dorina Vaccaroni,Italy,Fencer
Russell Mark,,Sport shooter
Michael Gross (swimmer),Germany,West German swimmer
Michael Metz,,Field hockey player
Miguel Indurain,Spain,Spanish racing cyclist
Mikko Kolehmainen,Finland,Canoe racer
Miloslav Mečíř,Czechoslovakia,Tennis player
Ute Geweniger,Germany,Swimmer
Uwe Ampler,Germany,German racing cyclist
Valentina Yegorova,Russia,Russian long-distance runner
Shahid Ali Khan,,Field hockey player
Sheila Echols,,Athletics (sport) competitor
Sigrid Wolf,Alps,Alpine skier
Stefano Cerioni,Spain,Fencer
Steve Alford,United States,Basketball player and coach
Heike Drechsler,Germany,German long jumper
Heike Henkel,Germany,German high jumper
Heike Singer,,Canoe racer
Henk-Jan Zwolle,Netherlands,Dutch rower
Henry Maske,,Boxer
Konstantin Sharovarov,Soviet Union,Handball player
Lázaro Vargas,,Baseball player
Marco D'Altrui,,Water polo player
Maria Mazina,Russia,Fencer
Marianne Florman,,Handball player
Marina Kumysh,Soviet Union,Former Soviet volleyball player who won gold at the 1988 Summer Olympics.
Markus Zimmermann,Germany,Bobsledder
Eckhardt Schultz,,Rower
Elena Georgescu,,Rower
Kamie Ethridge,United States,Basketball player
Arvydas Sabonis,Lithuania,Basketball player and executive
Aurélio Miguel,Brazil,Judoka
Anfisa Reztsova,,Cross-country skier
Anja Kluge,,Rower
Antonio McKay,,Athletics (sport) competitor
Armin Eichholz,,Rower
Orestes Kindelán,,Baseball player
Pablo Morales,United States,American swimmer Olympic gold medalist world champion former world record-holder
Paoletta Magoni,Alps,Alpine skier
Park Joo-bong,South Korea,male badminton player from South Korea
Pascal Richard,Switzerland,Racing cyclist
Ramona Balthasar,,Rower
Alejandro Puerto,,Olympic wrestler
Aleksandar Šoštar,,Water polo player
Aleksandr Tuchkin,,Handball player
Alex Baumann,Czechoslovakia,Canadian swimmer
Alexei Gusarov,Soviet Union,Russian ice hockey player
Alexey Prokurorov,,Cross-country skier
Richard Saeger,United States,American swimmer Olympic gold medalist
Rob Grabert,,Volleyball player
Robert Marland,,Rower
Stuart Tinney,Australia,Australian Equestrian
Su Huijuan,,Volleyball player
Suzie Landells,,Swimmer
Svetlana Mugoša-Antić,Yugoslavia,Former Olympic handball player
Sylvie Bernier,,Diver
Tamara Tikhonova,,Cross-country skier
Tanya Dangalakova,,Swimmer
Tatyana Sidorenko,Russia,Former Soviet volleyball player who won gold at the 1988 Summer Olympics.
Tauqeer Dar,,Field hockey player
Teresa Edwards,Georgia,American professional women's basketball player
Terrence Paul,,Rower
Daniele Scarpa,,Canoe racer
Dannette Young,United States,American sprinter
Gerlinde Doberschütz,,Rower
Gigi Fernández,Puerto Rico,Tennis player
Monique Knol,Netherlands,Dutch racing cyclist
Birgit Peter,,Rower
Bonnie Blair,United States,Speed skater
Bruce Kendall,,Sailor
Butch Reynolds,United States,American 400 meters sprinter Olympian and world record breaker
Valery Gopin,Soviet Union,Handball player
Valery Medvedtsev,Russia,Russian biathlete
Victor Davis,,Swimmer
Virginia Ramírez,,Field hockey player
Vladimir Artemov,Soviet Union,Gymnast
Vladimir Krylov,,Athletics (sport) competitor
Vladimir Smirnov (skier),Soviet Union,Cross-country skier
Vreni Schneider,Switzerland,ski racer from Switzerland
Jens Weißflog,Germany,German ski jumper
Andrei Lomakin,Soviet Union,Russian ice hockey player
Andrew Cooper,,Rower
Andrew Maynard (boxer),United States,American boxer
Leri Khabelov,Georgia,Olympic wrestler
Levon Julfalakyan,Armenia,Olympic wrestler
Lillie Leatherwood,,Athletics (sport) competitor
Lou Yun,China,A retired Chinese gymnast
Frédéric Delpla,France,Fencer
Frank Tate (boxer),United States,Boxer
Martine Ohr,,Field hockey player
Matt Cetlinski,United States,All-American college swimmer international swimmer Olympic gold medalist
Matthew Ryan (equestrian),,Equestrian
Maurizio Randazzo,Italy,Fencer
Maxi Gnauck,Germany,Gymnast
Nicolae Juravschi,Soviet Union,Canoe racer
Nicolas Hénard,,Sailor
Norman Bellingham,United States,Canoe racer
Holger Behrendt,Germany,Gymnast
Hugo Herrnhof,,Short track speed skater
Igor Boldin,Soviet Union,Russian ice hockey player
Igor Chumak,,Handball player
Igor Vasilev,,Handball player
Chris Jacobs (swimmer),United States,American swimmer Olympic gold medalist former world record-holder
Sam Graddy,Puerto Rico,Athletics (sport) competitor
Sarah Josephson,,Synchronized swimmer
Adrian Moorhouse,United Kingdom,British former swimmer
Carolyn Waldo,,Synchronized swimmer
Celia Corres,,Field hockey player
Charles Jenkins Jr.,United States,American Sprinter
Wayman Tisdale,United States,Basketball player
William Tanui,,Athletics (sport) competitor
Jon Root,United States,Volleyball player
Josefa Idem,Germany,Canoe racer
Karen Josephson,,Synchronized swimmer
Kathy Watt,Australia,Australian racing cyclist
Kim Myung-Soon,,Handball player
Éric Srecki,France,Fencer
Šarūnas Marčiulionis,Soviet Union,Basketball player
Irina Kirillova,Soviet Union,Former Soviet volleyball player who won gold at the 1988 Summer Olympics.
János Martinek,Hungary,Modern pentathlete
Jacqueline Börner,,Speed skater
Theresa Zabell,Spain,Spanish yacht racer
Thomas Schroll,,Bobsledder
Thomas Stangassinger,Alps,Alpine skier
Grigory Kiriyenko,Russia,Fencer
Gwen Torrence,United States,Athletics (sport) competitor
Wladimir Reznitschenko,Kazakhstan,Fencer
Yuri Savichev,United States,Russian footballer
Zeng Guoqiang,China,Chinese weightlifter
Zhou Jihong,,Chnese diver
Zoran Mikulić,,Handball player
Zsolt Borkai,,Gymnast
Günther Huber,,Bobsledder
Gela Ketashvili,Georgia,footballer
Patricia Guerra,,Sailor
Diána Igaly,,Sport shooter
Diego Perren,,Curler
Dieter Baumann,Germany,German distance runner
Dmitri Mironov,Soviet Union,Russian ice hockey player
Dominik Hašek,Czechoslovakia,NHL goaltender
Donat Acklin,,Bobsledder
Donna Weinbrecht,,Freestyle skier
Rogelio Marcelo,Cuba,Boxer
Michael Knauth,,Olympic medalist
Michael Rascher,,Rower
Michelle Finn-Burrell,,Athletics (sport) competitor
Mikhail Shtalenkov,Soviet Union,Ice hockey player
Valentina Ogienko,Russia,Volleyball player
Sergey Tarasov,Russia,Russian biathlete
Silke Hörner,,Swimmer
Stefka Kostadinova,Bulgaria,Bulgarian high jumper
Steve Yzerman,Canada,Canadian ice hockey player
Larisa Lazutina,,Cross-country skier
Laura Kraut,,Equestrian
María Urrutia,Colombia,Weightlifter and politician
Marc Delissen,,Field hockey player
Marcelo Ferreira,,Sailor
Marcia Gudereit,Canada,Curler
Marina Kiehl,Alps,Alpine skier
Marina Shmonina,Soviet Union,Soviet sprinter
Mario Lemieux,Canada,Canadian ice hockey centre Pittsburgh Penguins owner
Mario Von Appen,Germany,Canoe racer
Mark Woodforde,Australia,Australian tennis player
James Tomkins (rower),Australia,Australian Rower
Jan-Ove Waldner,Sweden,Table tennis player
Jasna Šekarić,,Sport shooter
Ed Belfour,Canada,Ice hockey player
Eldece Clarke-Lewis,,Athletics (sport) competitor
Elena Chebukina,Kazakhstan,Volleyball player
Juan Carlos Lemus,Cuba,Boxer
Juan Curuchet,Argentina,Argentine racing cyclist
Juan Padilla (second baseman),Cuba,Olympic baseball player
Julianne McNamara,,Gymnast
Antonio Scull,,Baseball player
Anvar Ibragimov,Russia,Fencer
Arminas Narbekovas,Lithuania,footballer
Arnd Schmitt,Germany,Fencer
Olaf Hampel,Germany,Bobsledder
Olga Nazarova,,Athletics (sport) competitor
Omar Ajete,,Former baseball player
Orlando Hernández,Cuba,Cuban professional baseball player pitcher
Park Si-Hun,South Korea,Boxer
Pat Spurgin,,Sport shooter
Reggie Miller,United States,Basketball player
Rica Reinisch,,Swimmer
Peter Wylde,United States,Equestrian
Pierpaolo Ferrazzi,Italy,Canoe racer
Poul-Erik Høyer Larsen,,Badminton player
Aleksandr Chernykh,Soviet Union,Russian ice hockey player
Alexander Popov (biathlete),Belarus,Belarusian biathlete
Rita Kőbán,,Canoe racer
Sung Kyung-Hwa,,Handball player
Svetlana Nageykina,,Cross-country skier
Terje Langli,,Cross-country skier
David Robinson (basketball),Uruguay,American basketball player
Debbie Watson (water polo),,Water polo player
Mitch Richmond,Uruguay,Basketball player
Nadine Capellmann,,Equestrian
Borislav Gidikov,,Weightlifter
Veronica Cochelea,,Rower
Viktor Tregubov,,Weightlifter
Voula Patoulidou,Greece,Greek athlete
Jens Müller (luger),Germany,German luger
Jesper Seier,,Sailor
András Sike,,Olympic wrestler
Andrea Lloyd-Curry,,Basketball player
Andreas Keller,,Field hockey player
Andreas Zülow,Germany,German boxer
Andrew Crosby,,Rower
Andrew Valmon,,Athletics (sport) competitor
Andrzej Wroński,Poland,Polish sport wrestler
Lennox Lewis,England,Boxer
Leslie Law,United Kingdom,Equestrian
Li Yuwei,,Sport shooter
Ferenc Csipes,,Canoe racer
Francis Moreau,France,French racing cyclist
Franck Piccard,Alps,Alpine skier
Mary Harvey,United States,Association football player
Mary Wayte,United States,All-American college swimmer international swimmer Olympic gold medalist sports broadcaster
Matt Biondi,United States,American swimmer Olympic gold medalist former world record-holder
Matthias Mellinghaus,,Rower
Mercedes Calderón,,Volleyball player
Nikolai Borschevsky,Soviet Union,Ice hockey player
Nina Gavrilyuk,,Cross-country skier
Hippolyt Kempf,Switzerland,Swiss Nordic combined skier
Igor Malkov,,Speed skater
Igor Milanović,Yugoslavia,Water polo player
Chen Longcan,China,Table tennis player
Christian Schenk,,Athletics (sport) competitor
Scottie Pippen,Germany,Basketball player
Carin Jennings-Gabarra,United States,Association football player
Charles Berglund,Sweden,Ice hockey player
Daina Gudzinevičiūtė,,Sport shooter
John Smith (wrestler),,Olympic wrestler
Jordi Sans,Spain,Water polo player
Katarina Witt,Germany,German figure skater
Kathleen Heddle,United States,Rower
Kathleen Nord,Germany,Swimmer
Kenny Harrison,United States,Athletics (sport) competitor
Kerri Pottharst,,Volleyball player
Kerstin Förster,,Rower
Kevin Jackson,United States,Olympic wrestler
Khristo Markov,Bulgaria,Bulgarian triple jumper
Kiko Sánchez,,Sailor
Kim Kyung-Soon,,Handball player
Kim Small,,Olympic medalist
Ingo Spelly,,Canoe racer
Ioana Olteanu,,Rower
Iztok Puc,Slovenia,Slovenian and Croatian handball player
Jacques Brinkman,,Field hockey player
Elisabeth Micheler-Jones,Germany,Canoe racer
Ellen van Langen,Netherlands,Dutch middle distance runner
Emese Hunyady,,Speed skater
Eric Sato,United States,Volleyball player
Erika Mészáros,,Canoe racer
Erling Jevne,,Cross-country skier
Thérèse Brisson,Canada,Ice hockey player
Tiffany Cohen,United States,American swimmer Olympic gold medalist
Tim Hardaway,United States,Basketball player
Lyubov Yegorova,Russia,Russian cross-country skier
Gunda Niemann-Stirnemann,Germany,Speed skater
Håkan Algotsson,Sweden,Swedish ice hockey player
Yelena Nikolayeva,,Athletics (sport) competitor
Zita-Eva Funkenhauser,Romania,Fencer
Fredrik Stillman,Sweden,Retired ice hockey defenseman currently general manager
Gail Devers,,Athletics (sport) competitor sprinter hurdler
Georg Hackl,,Luger
Patrice Lhotellier,France,Fencer
Pauline Davis-Thompson,,Athletics (sport) competitor
Perica Bukić,,Water polo player
Dennis Mitchell,United States,American college track and field athlete international track and field athlete Olympic gold medalist
Dmitry Bilozerchev,,Gymnast
Rochelle Stevens,,Athletics (sport) competitor
Roman Hagara,,Sailor
Sándor Hódosi,,Canoe racer
Michael Forgeron,,Rower
Michael Hilgers,,Field hockey player
Michela Figini,Switzerland,Alpine skier
Michelle Akers,United States,American college soccer player international soccer player World Cup champion
Michelle Hager,,Olympic medalist
Mihaela Stănuleţ,Romania,Gymnast
Trine Hattestad,Norway,Norwegian javelin thrower
Véronique Claudel,France,French biathlete
Valeri Kamensky,Soviet Union,Ice hockey player
Valeri Liukin,Soviet Union,Gymnast
Kristin Otto,Germany,Swimmer
Kristina Mundt,,Rower
Lee Han-Sup,,Archer
María Carmen Barea,,Field hockey player
Margherita Zalaffi,Italy,Fencer
Marina Klimova,Russia,Figure skater
Jan Železný,Czechoslovakia,Czech javelin thrower
Dubravko Šimenc,,Water polo player
Duff Gibson,Canada,skeleton racer
Joe Nieuwendyk,Canada,Canadian ice hockey player
Joel Thomas (swimmer),United States,American swimmer Olympic gold medalist
