Name,Nationality,Sport
Igor Boldin,Soviet Union,Ice Hockey
Igor Chumak,,Handball
Igor Vasilev,,Handball
Chris Jacobs (swimmer),United States,American swimmer Olympic gold medalist former world record-holder
Sam Graddy,Puerto Rico,Athletics (sport) competitor
Sarah Josephson,,Synchronized swimmer
Adrian Moorhouse,United Kingdom,British former swimmer
Carolyn Waldo,,Synchronized swimmer
Celia Corres,,Field hockey
Charles Jenkins Jr.,United States,American Sprinter
Wayman Tisdale,United States,Basketball
William Tanui,,Athletics (sport) competitor
Jon Root,United States,Volleyball
Karen Josephson,,Synchronized swimmer
Kathy Watt,Australia,Australian racing cyclist
Kim Myung-Soon,,Handball
Irina Kirillova,Soviet Union,Volleyball
János Martinek,Hungary,Modern pentathlete
Jacqueline Börner,,Speed skater
Theresa Zabell,Spain,Spanish yacht racer
Thomas Schroll,,Bobsledder
Thomas Stangassinger,Alps,Alpine skier
Grigory Kiriyenko,Russia,Fencer
Yuri Savichev,United States,Russian footballer
Zeng Guoqiang,China,Chinese weightlifter
Zhou Jihong,,Chnese diver
Zoran Mikulić,,Handball
Zsolt Borkai,,Gymnast
Gela Ketashvili,Georgia,footballer
Patricia Guerra,,Sailor
Diego Perren,,Curler
Dieter Baumann,Germany,German distance runner
Dmitri Mironov,Soviet Union,Ice Hockey
Donna Weinbrecht,,Freestyle skier
Rogelio Marcelo,Cuba,Boxer
Michael Knauth,,Olympic medalist
Michael Rascher,,Rower
Michelle Finn-Burrell,,Athletics (sport) competitor
Mikhail Shtalenkov,Soviet Union,Ice Hockey
Valentina Ogienko,Russia,Volleyball
Stefka Kostadinova,Bulgaria,Bulgarian high jumper
Steve Yzerman,Canada,Ice Hockey
Laura Kraut,,Equestrian
María Urrutia,Colombia,Weightlifter and politician
Marcia Gudereit,Canada,Curler
Marina Kiehl,Alps,Alpine skier
Marina Shmonina,Soviet Union,Soviet sprinter
Mario Lemieux,Canada,Ice Hockey
Mario Von Appen,Germany,Canoe racer
Mark Woodforde,Australia,Australian tennis player
Jan-Ove Waldner,Sweden,Table tennis player
Ed Belfour,Canada,Ice Hockey
Eldece Clarke-Lewis,,Athletics (sport) competitor
Elena Chebukina,Kazakhstan,Volleyball
Juan Carlos Lemus,Cuba,Boxer
Juan Curuchet,Argentina,Argentine racing cyclist
Juan Padilla (second baseman),Cuba,Olympic baseball player
Julianne McNamara,,Gymnast
Antonio Scull,,Baseball player
Anvar Ibragimov,Russia,Fencer
Arminas Narbekovas,Lithuania,footballer
Arnd Schmitt,Germany,Fencer
Olaf Hampel,Germany,Bobsledder
Omar Ajete,,Former baseball player
Orlando Hernández,Cuba,Cuban professional baseball player pitcher
Park Si-Hun,South Korea,Boxer
Pat Spurgin,,Sport shooter
Reggie Miller,United States,Basketball
Rica Reinisch,Germany,Swimmer
Peter Wylde,United States,Equestrian
Poul-Erik Høyer Larsen,,Badminton player
Aleksandr Chernykh,Soviet Union,Ice Hockey
Alexander Popov (biathlete),Belarus,Belarusian biathlete
Sung Kyung-Hwa,,Handball
Svetlana Nageykina,,Cross-country skier
Debbie Watson (water polo),,Water polo player
Nadine Capellmann,,Equestrian
Borislav Gidikov,,Weightlifter
Viktor Tregubov,,Weightlifter
Voula Patoulidou,Greece,Greek athlete
Jesper Seier,,Sailor
András Sike,,Olympic wrestler
Andrea Lloyd-Curry,,Basketball
Andreas Keller,,Field hockey
Andreas Zülow,Germany,German boxer
Andrew Crosby,,Rower
Andrew Valmon,,Athletics (sport) competitor
Andrzej Wroński,Poland,Polish sport wrestler
Lennox Lewis,England,Boxer
Leslie Law,United Kingdom,Equestrian
Li Yuwei,,Sport shooter
Francis Moreau,France,French racing cyclist
Mary Harvey,United States,Association football player
Matthias Mellinghaus,,Rower
Mercedes Calderón,,Volleyball
Nikolai Borschevsky,Soviet Union,Ice Hockey
Hippolyt Kempf,Switzerland,Swiss Nordic combined skier
Igor Malkov,,Speed skater
Igor Milanović,Yugoslavia,Water polo player
Chen Longcan,China,Table tennis player
Christian Schenk,,Athletics (sport) competitor
Scottie Pippen,Germany,Basketball
Carin Jennings-Gabarra,United States,Association football player
Charles Berglund,Sweden,Ice Hockey
Daina Gudzinevičiūtė,,Sport shooter
John Smith (wrestler),,Olympic wrestler
Jordi Sans,Spain,Water polo player
Katarina Witt,Germany,German figure skater
Kathleen Nord,Germany,Swimmer
Kenny Harrison,United States,Athletics (sport) competitor
Kerstin Förster,,Rower
Kevin Jackson,United States,Olympic wrestler
Khristo Markov,Bulgaria,Bulgarian triple jumper
Kiko Sánchez,,Sailor
Kim Kyung-Soon,,Handball
Kim Small,,Olympic medalist
Ingo Spelly,Germany,Canoe racer
Ioana Olteanu,,Rower
Elisabeth Micheler-Jones,Germany,Canoe racer
Ellen van Langen,Netherlands,Dutch middle distance runner
Erika Mészáros,,Canoe racer
Erling Jevne,,Cross-country skier
Thérèse Brisson,Canada,Ice Hockey
Tiffany Cohen,United States,American swimmer Olympic gold medalist
Tim Hardaway,United States,Basketball
Lyubov Yegorova,Russia,Russian cross-country skier
Håkan Algotsson,Sweden,Ice Hockey
Yelena Nikolayeva,,Athletics (sport) competitor
Fredrik Stillman,Sweden,Ice Hockey
Gail Devers,,Athletics (sport) competitor sprinter hurdler
Georg Hackl,Germany,Luger
Patrice Lhotellier,France,Fencer
Pauline Davis-Thompson,,Athletics (sport) competitor
Perica Bukić,,Water polo player
Rochelle Stevens,,Athletics (sport) competitor
Roman Hagara,,Sailor
Sándor Hódosi,,Canoe racer
Michael Forgeron,,Rower
Michael Hilgers,,Field hockey
Michela Figini,Switzerland,Alpine skier
Michelle Akers,United States,American college soccer player international soccer player World Cup champion
Michelle Hager,,Olympic medalist
Mihaela Stănuleţ,Romania,Gymnast
Valeri Kamensky,Soviet Union,Ice Hockey
Valeri Liukin,Soviet Union,Gymnast
Kristin Otto,Germany,Swimmer
Kristina Mundt,,Rower
Lee Han-Sup,,Archer
María Carmen Barea,,Field hockey
Margherita Zalaffi,Italy,Fencer
Jan Železný,Czechoslovakia,Czech javelin thrower
Dubravko Šimenc,,Water polo player
Duff Gibson,Canada,skeleton racer
Joe Nieuwendyk,Canada,Ice Hockey
Joel Thomas (swimmer),United States,American swimmer Olympic gold medalist
Jyrki Järvi,Finland,Olympic sailor
Beate Schramm,,Rower
Anke Nothnagel,Germany,Olympic canoeist
Randy Barnes,,Athletics (sport) competitor
Petr Svoboda,Czechoslovakia,Ice Hockey
Petra Rossner,Germany,German racing cyclist
Petra van Staveren,Netherlands,Swimmer
Alberto Tomba,Mali,Alpine skier
Alexander Szelig,Germany,Bobsledder
Alfonso Menéndez,,Archer
Tatyana Ledovskaya,,Athletics (sport) competitor
Daniel Plaza,Spain,Athletics (sport) competitor
Danielle Goyette,Canada,Ice Hockey
Bruno Gudelj,,Handball
Valery Goborov,Soviet Union,Basketball
Viatcheslav Ekimov,Russia,Russian racing cyclist
Vitali Prokhorov,Soviet Union,Ice Hockey
Vitaliy Savin,Kazakhstan,Kazakhstani sprinter
Vladimir Tatarchuk,Russia,Russian footballer
Jean-Luc Crétier,Alps,Alpine skier
Jearl Miles Clark,,Athletics (sport) competitor sprinter 400 metres runner
Jens Steinigen,Germany,German biathlete
Jeroen Duyster,,Rower
Jessica Monroe,,Rower
Andreas Dibowski,Germany,Equestrian
Andreas Schönbächler,,Freestyle skier
Andrey Abduvaliyev,,Athletics (sport) competitor
Lee Ki-Soon,,Handball
Lisa Brown-Miller,United States,Ice Hockey
Lori-Ann Muenzer,Canada,Canadian racing cyclist
Meldrick Taylor,United States,Boxer
Nenad Kljaić,Croatia,Handball
Niels Henriksen,,Rower
Nikolay Gulyayev,,Speed skater
Hwang Hye-young,,female badminton player from South Korea
Igor Sklyarov,Soviet Union,Russian footballer
Inessa Kravets,Ukraine,Soviet and Ukrainian triple and long jumper
Christian Due-Boje,Sweden,Ice Hockey
Scott Fortune,United States,Volleyball
Agostino Abbagnale,Italy,Rower
Catherine Fleury-Vachon,,Judoka
Cristina Elena Grigoraş,Romania,Gymnast
Jonathan Edwards (athlete),England,British triple jumper
Karsten Brannasch,,Bobsledder
Kennedy McKinney,,Boxer
Kerrin Lee-Gartner,United States,Alpine skier
Kevin Martin (curler),Canada,Curler
Kevin Robinzine,,Athletics (sport) competitor
Kevin Young (athlete),United States,American athlete hurdler
Kim Choon-Rye,,Handball
Irina Shilova,,Sport shooter
Thomas Reineck,,Canoe racer
Thorsten Weidner,Germany,Fencer
Lourdes Gourriel,,Baseball player
Maik Bullmann,,Olympic wrestler
Maik Landsmann,Germany,German racing cyclist
Hans Dersch,United States,American swimmer Olympic gold medalist
Yuri Nesterov,Soviet Union,Handball
Yuriy Gavrilov,,Handball
Zoltan Kósz,,Water polo player
Patrick Ortlieb,Austria,downhill skier
Paul Ereng,,Athletics (sport) competitor
Derek Porter,,Rower
Donghua Li,China,Gymnast
Donovan Bailey,Jamaica,Canadian athlete Olympic medalist
Rogério Sampaio,,Judoka
Roger Hansson,Sweden,Ice Hockey
Roger Johansson,Sweden,Ice Hockey
Ron Zwerver,United States,Volleyball
Michael Carruth,United States,Boxer
Michael Gier,,Rower
Michael Johnson (sprinter),United States,retired American sprinter
Michael Marsh (athlete),United States,Athletics (sport) competitor sprinter
Michiel Bartman,,Rower
Mikhail Yakimovich,Soviet Union,Handball
Mireya Luis,Cuba,Volleyball
Toshihiko Koga,,Judoka
Tracey Belbin,Australia,Field hockey
Uche Okechukwu,Nigeria,Nigerian footballer
Ulrich Kirchhoff,,Equestrian
Seo Hyang-Soon,,Archer
Sergei Bautin,Soviet Union,Ice Hockey
Sergei Grinkov,Russia,Pair skater
Shelly Stokes,United States,Softball player
Silke Renk,Germany,German javelin thrower
Stefan Saliger,,Olympic medalist
Stefan Tewes,,Field hockey
Henk-Jan Held,Netherlands,Volleyball
María Isabel Martínez,,Field hockey
Javier Sotomayor,Cuba,Cuban high jumper
Ecaterina Szabo,Romania,Artistic gymnast
Juan Manrique,,Baseball player
Anita Wachter,Austria,Alpine skier
Anna Maiques,,Field hockey
Antje Harvey,Germany,German biathlete
Artūras Kasputis,Soviet Union,Lithuanian racing cyclist
Oleg Kiselyov,,Handball
Omar Linares,,Baseball player
Ramona Portwich,,Canoe racer
Rechelle Hawkes,,Field hockey
Peter Rono,,Athletics (sport) competitor
Petr Hrdlička,,Sport shooter
Aleksandr Karelin,,Olympic wrestler
Risto Laakkonen,Finland,Ski jumper
Susanne Munk Wilbek,,Handball
Sylvie Fréchette,Canada,Synchronized swimmer
Tamás Darnyi,Hungary,Swimmer
Tatyana Kraynova,Russia,Volleyball
Evgeni Platov,United States,Figure skater
Evgeny Davydov,Soviet Union,Ice Hockey
Félix Savón,Cuba,Boxer
David MacEachern,Canada,Bobsledder
Geraldine Heaney,Ireland,Ice Hockey
Germán Mesa,,Baseball player
Giovanni Parisi,,Boxer
Mykola Milchev,,Sport shooter
Nadezhda Talanova,Russia,Russian biathlete
Naim Süleymanoğlu,Bulgaria,Weightlifter
Natalia Dorado,,Field hockey
Bjørn Dæhlie,Norway,Cross-country skier
Boris Becker,Germany,former World No. 1 professional tennis player from Germany
Brahim Boutayeb,,Athletics (sport) competitor
Brecht Rodenburg,Netherlands,Volleyball
Bridgette Gordon,,Basketball
Brigitte McMahon,,Triathlete
Bruny Surin,Haiti,Athletics (sport) competitor
Cécile Nowak,,Judoka
Veniamin Tayanovich,,Swimmer
Viktor Reneysky,,Canoe racer
Vyacheslav Atavin,Soviet Union,Handball
Włodzimierz Zawadzki,Poland,Polish sport wrestler
Wang Tao (table tennis),China,Table tennis player
Jenna Johnson,United States,American swimmer Olympic gold medalist
Jens Lehmann (cyclist),Germany,Track cyclist
Leroy Burrell,United States,American sprint athlete
Lilia Izquierdo,,Volleyball
Lim Mi-Kyung,,Handball
Linetta Wilson,United States,Athletics (sport) competitor sprinter hurdler 400 metres runner
Lionel Plumenail,France,Fencer
Nick Green (rower),United States,Rower
Nicole Uphoff,,Equestrian
Niels van der Zwan,United States,Dutch rower
Igor Dobrovolski,United States,Footballer
Chris Kappler,United States,Equestrian
Christophe Capelle,France,Road bicycle racer
Chung So-young,,female badminton player from South Korea
Charles Austin,,Athletics (sport) competitor
Curtis Joseph,Canada,Ice Hockey
Daichi Suzuki,Japan,Swimmer
Jonas Edman,,Sport shooter
Katy Steding,,Basketball
Kerstin Köppen,,Rower
Khalid Skah,,Athletics (sport) competitor
Ki Mi-Sook,,Handball
Kim Hyun-Mee,,Handball
Kim Ki-hoon,,Short track speed skater
Ingrid Klimke,Germany,Equestrian
Ennio Falco,,Olympic gold skeet shooting
Eric Lamaze,Canada,Equestrian
Espen Bredesen,Norway,Norwegian ski jumper
Theoren Fleury,Canada,Ice Hockey
Tom Brands,,Olympic wrestler
Lubomir Geraskov,,Gymnast
Luiza Noskova,Russia,Russian biathlete
Magaly Carvajal,,Volleyball
Héctor Milián,,Olympic wrestler
Hans-Peter Steinacher,Austria,Olympic sailor
Wouter van Pelt,,Field hockey
Yang Ling,China,Chinese sport shooter
Zhang Shan,China,Chinese sport shooter
František Kučera,Czechoslovakia,Ice Hockey
Gary Payton,United States,Basketball
Pedro Francisco García,,Water polo player
Deon Hemmings,,Athletics (sport) competitor
Dmitri Kharine,Soviet Union,Russian football goalkeeper
Rolando Arrojo,Cuba,Baseball player
Michael Stich,Germany,Tennis player
Mike Barrowman,United States,American swimmer Olympic gold medalist world champion
Mikhail Nestruyev,,Sport shooter
Torsten Gutsche,,Canoe racer
Troy Dalbey,United States,American swimmer Olympic gold medalist former world record-holder
Uwe Peschel,Germany,German racing cyclist
Sergei Petrenko,Soviet Union,Ice Hockey
Serhiy Bebeshko,,Handball
Sevdalin Marinov,,Weightlifter
Shaun Jordan,United States,American swimmer Olympic gold medalist
Shirley Robertson,South Africa,Sailor
Hassiba Boulmerka,Algeria,(born July 10 1968) in Constantine in the north east of Algeria is a former Algerian middle distance athlete
Kirsten Barnes,Canada,Canadian rower
Knut Holmann,,Canoe racer
Koos Maasdijk,,Rower
Kristen Babb-Sprague,,Synchronized swimmer
Kurt Angle,Lebanon,An American professional wrestler amateur wrestler and 1996 Olympic gold medalist
Laura Cutina,Romania,Gymnast
Laurent Porchier,,Rower
Margaret Morton,Scotland,Scottish curler
Marie-Claire Restoux,,Judoka
Marie-José Pérec,Guadeloupe,Athletics (sport) competitor sprinter 400 metres runner
Jan-Peter Tewes,,Field hockey
Janne Kolling,,Handball
Johann Olav Koss,,Speed skater
Joy Fawcett,United States,Association football player
Juan Holgado,,Archer
Julie Smith (softball),United States,Softball player
Artur Dmitriev,Ukraine,Figure skater
Attila Repka,,Olympic wrestler
Angelique Seriese,Netherlands,Dutch judoka
Anky van Grunsven,,Equestrian
Antonella Bellutti,Italy,Italian track cyclist
Antonio Tartaglia,,Bobsledder
Arkadiusz Skrzypaszek,Poland,Modern pentathlete
Oleg Grebnev,,Handball
Olga Gennadyevna Kuznetsova,,Sport shooter
Olga Shishigina,Kazakhstan,Kazakh hurdler
Olof van der Meulen,Netherlands,Volleyball
Orazio Fagone,,Short-track speed skater
Ormari Romero,,Baseball player
Osvaldo Fernández,Cuba,Baseball player
Péter Farkas,,Olympic wrestler
Pablo Lara,,Weightlifter
Rexy Mainaky,Philippines,Badminton player
Alan Budikusuma,Indonesia,Badminton player
Alberto Hernández,,Baseball player
Alessandro Puccini,Italy,Fencer
Robert Korzeniowski,Poland,Athletics (sport) competitor
Suk Min-Hee,,Handball
Svetlana Korytova,Russia,Volleyball
Svetlana Masterkova,Russia,Athletics (sport) competitor
Darren Barber,,Rower
Davide Tizzano,,Rower
Debbie Knox,Scotland,Scottish curler
Glenroy Gilbert,,Athletics (sport) competitor
Nathalie Schneyder,,Synchronized swimmer
Beniamino Bonomi,,Canoe racer
Birte Weigang,,Swimmer
Brandi Chastain,United States,Soccer player
Valner Franković,,Handball
Vladimir Jelčić,,Handball
Vlado Šola,Croatia,Handball
Jesús Rollán,,Water polo player
Jiří Dopita,Czechoslovakia,Ice Hockey
Jimmy Shea,,Skeleton racer
Almudena Muñoz,,Judoka
Anca Tănase,,Rower
Andreas Tews,,Boxer
Leif Rohlin,Sweden,Ice Hockey
Lene Rantala,,Handball
Leo Klein Gebbink,Netherlands,Field hockey
Lina Cheryazova,,Freestyle skier
Francesca Bortolozzi-Borella,Italy,Fencer
Maurício Lima,Brazil,Volleyball
Megan Delehanty,,Rower
Nikolaos Kaklamanakis,,Sailor
Nuria Olivé,,Field hockey
Christian Blunck,,Field hockey
Christian Klees,,Sport shooter
Salvador Gómez (water polo),,Water polo player
Camelia Macoviciuc-Mihalcea,,Rower
Carla McGhee,,Basketball
Carla Overbeck,,Association football player
Carlette Guidry-White,,Athletics (sport) competitor
Carrie Steinseifer,United States,American swimmer Olympic gold medalist
Jon Drummond,United States,American track athlete
Jordi Calafat,,Sailor
Jorge Fumero,,Baseball player
José Luis Ballester (sailor),,Sailor
Josef Polig,Alps,Alpine skier
Kendall Cross (wrestler),Bulgaria,Olympic wrestler
Kenneth Brokenburr,United States,Athletics (sport) competitor
Kent Steffes,United States,Volleyball
Štěpánka Hilgertová,Czechoslovakia,Olympic Kayaker
Isabell Werth,,Equestrian
József Szabó,Hungary,Swimmer
Eric Bergoust,,Freestyle skier
Eric Fonoimoana,United States,Volleyball
Ernie Young,United States,American baseball player
Esther Jones,,Athletics (sport) competitor
Thomas Johanson,Finland,Olympic sailor
Maicel Malone-Wallace,,Athletics (sport) competitor
Zhuang Xiaoyan,China,Martial artist
Fred Børre Lundberg,Norway,Norwegian Nordic combined skier
Fulvio Valbusa,,Cross-country skier
Garry Herbert,United Kingdom,Rower
Diana Bianchedi,Italy,Fencer
Dmitry Filippov,,Handball
Dmitry Kuzelev,,Handball
Ryszard Wolny,,Olympic wrestler
Michael Steinbach,,Rower
Mike Stulce,,Athletics (sport) competitor
Torsten May,Germany,Boxer
Valérie Barlois-Mevel-Leroux,France,Fencer
Sergi Pedrerol,,Water polo player
Sheila Taormina,United States,American swimmer triathlete pentathlete Olympic gold medalist
Simon Fairweather,Australia,Australian archer
Song Ji-Hyun,,Handball
Sonia Barrio,,Field hockey
Stefan Örnskog,Sweden,Ice Hockey
Stefan Steinweg,Germany,German racing cyclist
Steve Lewis (sprinter),United States,Athletics (sport) competitor 400 meter runner
Steve Smith (basketball),United States,Basketball
Lü Lin,,Table tennis player
Mark Henderson (swimmer),United States,American swimmer Olympic gold medalist former world record-holder
Janelson Carvalho,,Volleyball
Jang Ri-Ra,,Handball
Javier Manjarín,Spain,Spanish footballer
Joe Jacobi,,Canoe racer
Joe Sakic,Canada,Ice Hockey
Joseph Keter,,Athletics (sport) competitor
Juan Manuel López (footballer),Spain,Spanish footballer
Juliet Haslam,,Field hockey
Kakhi Kakhiashvili,Greece,Weightlifter
Angela Cutrone,,Short-track speed skater
Anja Andersen,Denmark,Handball
Annette Klug,Germany,Fencer
Anthuan Maybank,United States,Athletics (sport) competitor
Ari-Pekka Nikkola,,Ski jumper
Paola Pezzo,Italy,Italian racing cyclist
Paolo Milanoli,Italy,Fencer
Petra Kronberger,Austria,Austrian alpine skier
Philippe Ermenault,France,Track cyclist
Aleksandr Lebziak,Soviet Union,Boxer
Alexander Mogilny,Soviet Union,Ice Hockey
Alexander Moskalenko,,Gymnast
Rob Blake,Canada,Ice Hockey
Robert Změlík,Czechoslovakia,Czechoslovak decathlete
Roberto Balado,Cuba,Boxer
Roberto Solozábal,Spain,Spanish footballer
Sunday Bada,Nigeria,Athletics (sport) competitor
Sylke Otto,,Luger
Takanori Kono,Japan,Japanese Nordic combined skier
Talmo Oliveira,Brazil,Volleyball
Danielle Woodhouse,,Water polo player
David Villabona,Spain,Footballer
Gitte Madsen,,Handball
Brendan Shanahan,Canada,Ice Hockey
Joan Llaneras,Spain,Spanish racing cyclist
Andrea Collinelli,Italy,Italian track cyclist 1996 Olympic gold 4000m individual pursuit
Andrei Trefilov,Soviet Union,Ice Hockey
Lee Mi-Young (handballer),,Handball
Linda Andersen,,Sailor
Ferenc Novák,,Canoe racer
Fermín Cacho,,Athletics (sport) competitor
Martin López-Zubero,Spain,All-American college swimmer Spanish international swimmer Olympic gold medalist swimming coach
Nazim Huseynov,,Judoka
Niels van Steenis,,Rower
Niklas Eriksson,Sweden,Ice Hockey
Hidehiko Yoshida,Japan,Japanese martial artist
Ilke Wyludda,Germany,German discus thrower and shot putter
Ingeborg Hovland,,Association footballer
Chen Yueling,United States,Race Walker
Christian Laettner,Angola,Basketball
Santiago Cañizares,Spain,Spanish footballer
Conny Hamann,,Handball
José Manuel Moreno (cyclist),Spain,Spanish racing cyclist
Josef Beránek,Czechoslovakia,Ice Hockey
Kenji Ogiwara,Japan,Former Japanese nordic combined skier
Kerstin Müller,,Rower
Elisabeth Maragall,,Field hockey
Emmanuel Amuneke,Nigeria,Nigerian footballer
Erki Nool,Estonia,Estonian decathlete
Eugeni Redkine,Soviet Union,Soviet biathlete
Thomas Poulsen,,Rower
Timur Taymazov,,Weightlifter
Luis Enrique Martínez García,Spain,Spanish footballer and manager
Lukáš Pollert,Czechoslovakia,Canoe racer
Mahmut Demir,,Olympic wrestler
Manfred Kurzer,,Sport shooter
Guido Görtzen,,Volleyball
Han Hyun-Sook,,Handball
Yelena Yelesina,Russia,Russian high jumper
Yolanda Griffith,United States,Basketball
Gao Min (diver),,Diver
Patrick M'Boma,Cameroon,Cameroonian footballer
Patrik Juhlin,Sweden,Ice Hockey
Paweł Nastula,Poland,Judoka
Pernilla Wiberg,Sweden,Alpine skier
Derek Parra,Mali,Speed skater
Derrick Adkins,,Athletics (sport) competitor
Diederik Simon,United States,Dutch rower
Doina Spîrcu,,Rower
Douglas Chiarotti,,Volleyball
Ronnie Sundin,Sweden,Ice Hockey
Russell Garcia (field hockey),,Field hockey
Michael Jakosits,,Sport shooter
Michele Granger,,Softball player
Miguel Caldés Luis,,Olympic baseball player
Mike Neill,,Baseball player
Min Hye-Sook,,Handball
Trent Dimas,United States,Artistic Gymnast
Vadim Bogiyev,,Olympic wrestler
Sergei Kharkov,Soviet Union,Gymnast
Sergei Zubov,Soviet Union,Ice Hockey
Heather Simmons-Carrasco,,Synchronized swimmer
Heike Friedrich,Germany,Swimmer
Heli Rantanen,,Athletics (sport) competitor
Klaus Michler,,Olympic medalist
Marc Rosset,United States,Swiss tennis player
Margunn Haugenes,,Association football player
Marina Lobatch,Soviet Union,Gymnast
Mario Reiter,Alps,Alpine skier
Mark Kirchner,Germany,German biathlete
Markus Gier,,Rower
James Jett,South Africa,Athletics (sport) and American football competitor
Jana Thieme,,Rower
Jason Queally,England,English racing cyclist
Jason Rouser,,Athletics (sport) competitor
John Cotton (baseball),United States,Baseball player
Anett Schuck,Germany,German sprint canoer
Ariel Hernández (boxer),Cuba,Boxer
Artem Khadjibekov,,Sport shooter
Odalis Revé,Cuba,Judoka
Olga Danilova,,Cross-country skier
Olga Kuzenkova,,Athletics (sport) competitor
Paqui,Spain,Spanish footballer
Park Jeong-Lim,,Handball
Park Kap-Sook,,Handball
Park Sung-Soo,,Archer
Regla Bell,Cuba,Volleyball
Pierre Lueders,Canada,bobsledder
Quincy Watts,United States,Athletics (sport) competitor sprinter 400 metres runner
Al Joyner,Monaco,Track and Field Triple Jumper Hurdler Coach  Flo-Jo's husband
Albert Ferrer,Spain,Spanish football player/manager/commentator
Aleksandr Beketov,Russia,Fencer
Rick Krivda,United States,Baseball player
Szilveszter Csollány,,Gymnast
Tímea Nagy,Hungary,Hungarian fencer
Takanobu Okabe,Japan,Japanese ski jumper
Tande,,Volleyball
Fabio Casartelli,Italy,Italian cyclist
Daniel Rydmark,Sweden,Ice Hockey
Danielle Roche,,Field hockey
Giorge Díaz,,Baseball player
Giovane Gávio,,Volleyball
Misha Latuhihin,Netherlands,Volleyball
Nam Eun-Young,,Handball
Natalia Mishkutenok,Belarus,Figure skater
Natalie Williams,,Basketball
Nathalie Lancien,France,French racing cyclist
Valter Matošević,Croatia,Handball
Vicky Sunohara,Canada,Ice Hockey
Vladimir Pyshnenko,Russia,Swimmer
Vyacheslav Butsayev,Soviet Union,Ice Hockey
Wang Hee-Kyung,,Archer
Jeff Rouse,United States,American swimmer Olympic gold medalist former world record-holder
Jenny Armstrong,,Sailor
Joël Abati,Martinique,Handball
Alonzo Mourning,South Africa,Basketball
Amanda Cromwell,United States,American soccer player and coach
André Steiner,,Rower
Andre Agassi,United States,American tennis player
Andreas Becker,,Olympic medalist
Andrei Kovalenko,Soviet Union,Ice Hockey
Andrey Barbashinsky,,Handball
Lee Lai Shan,,Sailor
Li Duihong,,Sport shooter
Lin Li (swimmer),China,Swimmer
Lisa Powell,,Field hockey
Lori Harrigan,United States,Softball player
Francisco Soler Atencia,Spain,Spanish football player/manager
Franck David,,Sailor
Matthew Pinsent,England,Rower
Nelson Diebel,United States,American swimmer Olympic gold medalist former world record-holder
Nicklas Lidström,Sweden,Ice Hockey
Noureddine Morceli,Algeria,retired athlete winner of the 1500 m run at the 1996 Summer Olympics
Nouria Mérah-Benida,Algeria,Athletics (sport) competitor
Hwang Young-cho,,Athletics (sport) competitor
Chioma Ajunwa,Nigeria,Athletics (sport) competitor
Chryste Gaines,,Athletics (sport) competitor
Satu Mäkelä-Nummela,,Sport shooter
Abelardo Fernández,Spain,Spanish football player/manager
Adiel Palma,,Baseball player
Carmela Allucci,United States,Water polo player
Catriona Le May Doan,Canada,Speed skater
Wilfried Huber,Austria,Luger
Crissy Ahmann-Leighton,United States,American swimmer Olympic gold medalist
Kate Allen (triathlete),Australia,Triathlete
Kelly Holmes,United Kingdom,British middle distance athlete and Olympic gold medallist
Kim Kyung-Wook,,Archer
Iulica Ruican,,Rower
Ivan Ivanov (weightlifter),,Weightlifter
Erik Jazet,,Field hockey
Tina Bøttzau,,Handball
Todd Williams,United States,Baseball player
Todd Woodbridge,Australia,Australian tennis player
Maja Grønbæk,,Handball
Gunar Kirchbach,,Canoe racer
Hamish Carter,New Zealand,Triathlete
Xu Yanmei,China,Chinese diver
Yun Young-Sook,,Korean archer
Yury Valeryevich Mukhin,,Swimmer
Gábor Horváth (kayaker),Hungary,Hungarian canoe racer
Patrik Ćavar,Croatia,Handball
Pavel Patera,Czech Republic,Ice Hockey
Penny Hardaway,United States,Basketball
Peter Cipollone,United States,Rower
Djamel Bouras,,Judoka
Dmitri Svatkovskiy,Russia,Pentathlete
Dmitri Yushkevich,Soviet Union,Ice Hockey
Dmitry Nelyubin,Soviet Union,Soviet racing cyclist
Doris Neuner,,Luger
Roman Čechmánek,Czechoslovakia,Ice Hockey
Ross Rebagliati,United States,Snowboarder
Michelle Andrews,Australia,Field hockey
Mikel Lasa,Spain,Spanish footballer
Tommy Salo,Sweden,Ice Hockey
Tripp Schwenk,United States,American swimmer Olympic gold medalist former world record-holder
Tyler Hamilton,United States,Road bicycle racer
Vadim Gutzeit,,Fencer
Sheryl Swoopes,United States,Basketball
Slavko Goluža,Croatia,Handball
Stacy Dragila,United States,Athletics (sport) competitor
Stanislav Kulinchenko,,Handball
Stefano Baldini,Italy,Athletics (sport) competitor
Stephen Hawkins,,Rower
Henrik Blakskjær,,Sailor
Kristi Yamaguchi,United States,American figure skater
Kristine Lilly,United States,Soccer player
Lee Ho-Youn,,Handball
Marek Kolbowicz,Poland,Polish rower
Margot Thien,,Synchronized swimmer
Mario Kindelán,,Boxer
Janet Evans,United States,American swimmer Olympic gold medalist world champion world record-holder
Jari Mantila,Finland,Finnish Nordic combined skier
Ekaterina Gordeeva,United States,Figure skater
Eliecer Montes de Oca,,Baseball player
Joel Casamayor,Cuba,Boxer
Josia Thugwane,,Athletics (sport) competitor
Julie Foudy,United States,Association football player
Atina Johnston,,Curler
Audley Harrison,England,Boxer
Bas van de Goor,,Volleyball
